Substance 1,Substance 2,Result
ALUMINUM OXIDE,ACETYLENE,Caution
"ALUMINUM POWDER, UNCOATED",ACETYLENE,Incompatible
"ALUMINUM POWDER, UNCOATED",ALUMINUM OXIDE,Incompatible
"AMMONIA, ANHYDROUS",ACETYLENE,Caution
"AMMONIA, ANHYDROUS",ALUMINUM OXIDE,Compatible
"AMMONIA, ANHYDROUS","ALUMINUM POWDER, UNCOATED",Incompatible
ARGON,ACETYLENE,Compatible
ARGON,ALUMINUM OXIDE,Compatible
ARGON,"ALUMINUM POWDER, UNCOATED",Caution
ARGON,"AMMONIA, ANHYDROUS",Compatible
BENZENE,ACETYLENE,Compatible
BENZENE,ALUMINUM OXIDE,Compatible
BENZENE,"ALUMINUM POWDER, UNCOATED",Compatible
BENZENE,"AMMONIA, ANHYDROUS",Compatible
BENZENE,ARGON,Compatible
BROMINE,ACETYLENE,Incompatible
BROMINE,ALUMINUM OXIDE,Incompatible
BROMINE,"ALUMINUM POWDER, UNCOATED",Incompatible
BROMINE,"AMMONIA, ANHYDROUS",Incompatible
BROMINE,ARGON,Compatible
BROMINE,BENZENE,Incompatible
CALCIUM CARBONATE,ACETYLENE,Caution
CALCIUM CARBONATE,ALUMINUM OXIDE,Compatible
CALCIUM CARBONATE,"ALUMINUM POWDER, UNCOATED",Incompatible
CALCIUM CARBONATE,"AMMONIA, ANHYDROUS",Compatible
CALCIUM CARBONATE,ARGON,Compatible
CALCIUM CARBONATE,BENZENE,Compatible
CALCIUM CARBONATE,BROMINE,Incompatible
CALCIUM OXIDE,ACETYLENE,Incompatible
CALCIUM OXIDE,ALUMINUM OXIDE,Compatible
CALCIUM OXIDE,"ALUMINUM POWDER, UNCOATED",Incompatible
CALCIUM OXIDE,"AMMONIA, ANHYDROUS",Compatible
CALCIUM OXIDE,ARGON,Compatible
CALCIUM OXIDE,BENZENE,Compatible
CALCIUM OXIDE,BROMINE,Incompatible
CALCIUM OXIDE,CALCIUM CARBONATE,Compatible
CARBON DIOXIDE,ACETYLENE,Compatible
CARBON DIOXIDE,ALUMINUM OXIDE,Compatible
CARBON DIOXIDE,"ALUMINUM POWDER, UNCOATED",Caution
CARBON DIOXIDE,"AMMONIA, ANHYDROUS",Compatible
CARBON DIOXIDE,ARGON,Compatible
CARBON DIOXIDE,BENZENE,Compatible
CARBON DIOXIDE,BROMINE,Compatible
CARBON DIOXIDE,CALCIUM CARBONATE,Compatible
CARBON DIOXIDE,CALCIUM OXIDE,Compatible
CARBON MONOXIDE,ACETYLENE,Compatible
CARBON MONOXIDE,ALUMINUM OXIDE,Compatible
CARBON MONOXIDE,"ALUMINUM POWDER, UNCOATED",Incompatible
CARBON MONOXIDE,"AMMONIA, ANHYDROUS",Compatible
CARBON MONOXIDE,ARGON,Compatible
CARBON MONOXIDE,BENZENE,Compatible
CARBON MONOXIDE,BROMINE,Incompatible
CARBON MONOXIDE,CALCIUM CARBONATE,Compatible
CARBON MONOXIDE,CALCIUM OXIDE,Compatible
CARBON MONOXIDE,CARBON DIOXIDE,Compatible
CELLULOSE,ACETYLENE,Compatible
CELLULOSE,ALUMINUM OXIDE,Compatible
CELLULOSE,"ALUMINUM POWDER, UNCOATED",Incompatible
CELLULOSE,"AMMONIA, ANHYDROUS",Compatible
CELLULOSE,ARGON,Compatible
CELLULOSE,BENZENE,Compatible
CELLULOSE,BROMINE,Incompatible
CELLULOSE,CALCIUM CARBONATE,Compatible
CELLULOSE,CALCIUM OXIDE,Incompatible
CELLULOSE,CARBON DIOXIDE,Compatible
CELLULOSE,CARBON MONOXIDE,Caution
CHLORINE,ACETYLENE,Incompatible
CHLORINE,ALUMINUM OXIDE,Incompatible
CHLORINE,"ALUMINUM POWDER, UNCOATED",Incompatible
CHLORINE,"AMMONIA, ANHYDROUS",Incompatible
CHLORINE,ARGON,Compatible
CHLORINE,BENZENE,Incompatible
CHLORINE,BROMINE,Incompatible
CHLORINE,CALCIUM CARBONATE,Incompatible
CHLORINE,CALCIUM OXIDE,Incompatible
CHLORINE,CARBON DIOXIDE,Compatible
CHLORINE,CARBON MONOXIDE,Incompatible
CHLORINE,CELLULOSE,Incompatible
CHROMIUM,ACETYLENE,Incompatible
CHROMIUM,ALUMINUM OXIDE,Incompatible
CHROMIUM,"ALUMINUM POWDER, UNCOATED",Compatible
CHROMIUM,"AMMONIA, ANHYDROUS",Incompatible
CHROMIUM,ARGON,Caution
CHROMIUM,BENZENE,Compatible
CHROMIUM,BROMINE,Incompatible
CHROMIUM,CALCIUM CARBONATE,Incompatible
CHROMIUM,CALCIUM OXIDE,Incompatible
CHROMIUM,CARBON DIOXIDE,Caution
CHROMIUM,CARBON MONOXIDE,Incompatible
CHROMIUM,CELLULOSE,Incompatible
CHROMIUM,CHLORINE,Incompatible
D-MANNITOL,ACETYLENE,Compatible
D-MANNITOL,ALUMINUM OXIDE,Compatible
D-MANNITOL,"ALUMINUM POWDER, UNCOATED",Incompatible
D-MANNITOL,"AMMONIA, ANHYDROUS",Compatible
D-MANNITOL,ARGON,Compatible
D-MANNITOL,BENZENE,Compatible
D-MANNITOL,BROMINE,Incompatible
D-MANNITOL,CALCIUM CARBONATE,Compatible
D-MANNITOL,CALCIUM OXIDE,Incompatible
D-MANNITOL,CARBON DIOXIDE,Compatible
D-MANNITOL,CARBON MONOXIDE,Caution
D-MANNITOL,CELLULOSE,Compatible
D-MANNITOL,CHLORINE,Incompatible
D-MANNITOL,CHROMIUM,Incompatible
DICHLOROMETHANE,ACETYLENE,Compatible
DICHLOROMETHANE,ALUMINUM OXIDE,Compatible
DICHLOROMETHANE,"ALUMINUM POWDER, UNCOATED",Incompatible
DICHLOROMETHANE,"AMMONIA, ANHYDROUS",Compatible
DICHLOROMETHANE,ARGON,Compatible
DICHLOROMETHANE,BENZENE,Compatible
DICHLOROMETHANE,BROMINE,Incompatible
DICHLOROMETHANE,CALCIUM CARBONATE,Caution
DICHLOROMETHANE,CALCIUM OXIDE,Incompatible
DICHLOROMETHANE,CARBON DIOXIDE,Compatible
DICHLOROMETHANE,CARBON MONOXIDE,Compatible
DICHLOROMETHANE,CELLULOSE,Compatible
DICHLOROMETHANE,CHLORINE,Incompatible
DICHLOROMETHANE,CHROMIUM,Incompatible
DICHLOROMETHANE,D-MANNITOL,Compatible
ETHANE,ACETYLENE,Compatible
ETHANE,ALUMINUM OXIDE,Compatible
ETHANE,"ALUMINUM POWDER, UNCOATED",Compatible
ETHANE,"AMMONIA, ANHYDROUS",Compatible
ETHANE,ARGON,Compatible
ETHANE,BENZENE,Compatible
ETHANE,BROMINE,Incompatible
ETHANE,CALCIUM CARBONATE,Compatible
ETHANE,CALCIUM OXIDE,Compatible
ETHANE,CARBON DIOXIDE,Compatible
ETHANE,CARBON MONOXIDE,Compatible
ETHANE,CELLULOSE,Compatible
ETHANE,CHLORINE,Incompatible
ETHANE,CHROMIUM,Compatible
ETHANE,D-MANNITOL,Compatible
ETHANE,DICHLOROMETHANE,Compatible
ETHANOL,ACETYLENE,Compatible
ETHANOL,ALUMINUM OXIDE,Compatible
ETHANOL,"ALUMINUM POWDER, UNCOATED",Incompatible
ETHANOL,"AMMONIA, ANHYDROUS",Compatible
ETHANOL,ARGON,Compatible
ETHANOL,BENZENE,Compatible
ETHANOL,BROMINE,Incompatible
ETHANOL,CALCIUM CARBONATE,Compatible
ETHANOL,CALCIUM OXIDE,Incompatible
ETHANOL,CARBON DIOXIDE,Compatible
ETHANOL,CARBON MONOXIDE,Caution
ETHANOL,CELLULOSE,Compatible
ETHANOL,CHLORINE,Incompatible
ETHANOL,CHROMIUM,Incompatible
ETHANOL,D-MANNITOL,Compatible
ETHANOL,DICHLOROMETHANE,Compatible
ETHANOL,ETHANE,Compatible
ETHYLENE,ACETYLENE,Caution
ETHYLENE,ALUMINUM OXIDE,Caution
ETHYLENE,"ALUMINUM POWDER, UNCOATED",Incompatible
ETHYLENE,"AMMONIA, ANHYDROUS",Incompatible
ETHYLENE,ARGON,Caution
ETHYLENE,BENZENE,Compatible
ETHYLENE,BROMINE,Incompatible
ETHYLENE,CALCIUM CARBONATE,Caution
ETHYLENE,CALCIUM OXIDE,Incompatible
ETHYLENE,CARBON DIOXIDE,Caution
ETHYLENE,CARBON MONOXIDE,Incompatible
ETHYLENE,CELLULOSE,Caution
ETHYLENE,CHLORINE,Incompatible
ETHYLENE,CHROMIUM,Incompatible
ETHYLENE,D-MANNITOL,Caution
ETHYLENE,DICHLOROMETHANE,Caution
ETHYLENE,ETHANE,Caution
ETHYLENE,ETHANOL,Caution
ETHYLENE,ETHYLENE,Self Reactive
"FERROUS CHLORIDE, SOLID",ACETYLENE,Compatible
"FERROUS CHLORIDE, SOLID",ALUMINUM OXIDE,Incompatible
"FERROUS CHLORIDE, SOLID","ALUMINUM POWDER, UNCOATED",Incompatible
"FERROUS CHLORIDE, SOLID","AMMONIA, ANHYDROUS",Compatible
"FERROUS CHLORIDE, SOLID",ARGON,Compatible
"FERROUS CHLORIDE, SOLID",BENZENE,Compatible
"FERROUS CHLORIDE, SOLID",BROMINE,Incompatible
"FERROUS CHLORIDE, SOLID",CALCIUM CARBONATE,Compatible
"FERROUS CHLORIDE, SOLID",CALCIUM OXIDE,Compatible
"FERROUS CHLORIDE, SOLID",CARBON DIOXIDE,Compatible
"FERROUS CHLORIDE, SOLID",CARBON MONOXIDE,Caution
"FERROUS CHLORIDE, SOLID",CELLULOSE,Incompatible
"FERROUS CHLORIDE, SOLID",CHLORINE,Incompatible
"FERROUS CHLORIDE, SOLID",CHROMIUM,Incompatible
"FERROUS CHLORIDE, SOLID",D-MANNITOL,Incompatible
"FERROUS CHLORIDE, SOLID",DICHLOROMETHANE,Incompatible
"FERROUS CHLORIDE, SOLID",ETHANE,Compatible
"FERROUS CHLORIDE, SOLID",ETHANOL,Incompatible
"FERROUS CHLORIDE, SOLID",ETHYLENE,Incompatible
HELIUM,ACETYLENE,Compatible
HELIUM,ALUMINUM OXIDE,Compatible
HELIUM,"ALUMINUM POWDER, UNCOATED",Caution
HELIUM,"AMMONIA, ANHYDROUS",Compatible
HELIUM,ARGON,Compatible
HELIUM,BENZENE,Compatible
HELIUM,BROMINE,Compatible
HELIUM,CALCIUM CARBONATE,Compatible
HELIUM,CALCIUM OXIDE,Compatible
HELIUM,CARBON DIOXIDE,Compatible
HELIUM,CARBON MONOXIDE,Compatible
HELIUM,CELLULOSE,Compatible
HELIUM,CHLORINE,Compatible
HELIUM,CHROMIUM,Caution
HELIUM,D-MANNITOL,Compatible
HELIUM,DICHLOROMETHANE,Compatible
HELIUM,ETHANE,Compatible
HELIUM,ETHANOL,Compatible
HELIUM,ETHYLENE,Caution
HELIUM,"FERROUS CHLORIDE, SOLID",Compatible
HYDROGEN,ACETYLENE,Compatible
HYDROGEN,ALUMINUM OXIDE,Compatible
HYDROGEN,"ALUMINUM POWDER, UNCOATED",Incompatible
HYDROGEN,"AMMONIA, ANHYDROUS",Compatible
HYDROGEN,ARGON,Compatible
HYDROGEN,BENZENE,Compatible
HYDROGEN,BROMINE,Incompatible
HYDROGEN,CALCIUM CARBONATE,Compatible
HYDROGEN,CALCIUM OXIDE,Compatible
HYDROGEN,CARBON DIOXIDE,Compatible
HYDROGEN,CARBON MONOXIDE,Compatible
HYDROGEN,CELLULOSE,Caution
HYDROGEN,CHLORINE,Incompatible
HYDROGEN,CHROMIUM,Incompatible
HYDROGEN,D-MANNITOL,Caution
HYDROGEN,DICHLOROMETHANE,Compatible
HYDROGEN,ETHANE,Compatible
HYDROGEN,ETHANOL,Caution
HYDROGEN,ETHYLENE,Incompatible
HYDROGEN,"FERROUS CHLORIDE, SOLID",Caution
HYDROGEN,HELIUM,Compatible
"HYDROGEN CHLORIDE, ANHYDROUS",ACETYLENE,Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS",ALUMINUM OXIDE,Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS","ALUMINUM POWDER, UNCOATED",Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS","AMMONIA, ANHYDROUS",Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS",ARGON,Compatible
"HYDROGEN CHLORIDE, ANHYDROUS",BENZENE,Compatible
"HYDROGEN CHLORIDE, ANHYDROUS",BROMINE,Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS",CALCIUM CARBONATE,Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS",CALCIUM OXIDE,Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS",CARBON DIOXIDE,Compatible
"HYDROGEN CHLORIDE, ANHYDROUS",CARBON MONOXIDE,Compatible
"HYDROGEN CHLORIDE, ANHYDROUS",CELLULOSE,Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS",CHLORINE,Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS",CHROMIUM,Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS",D-MANNITOL,Caution
"HYDROGEN CHLORIDE, ANHYDROUS",DICHLOROMETHANE,Caution
"HYDROGEN CHLORIDE, ANHYDROUS",ETHANE,Compatible
"HYDROGEN CHLORIDE, ANHYDROUS",ETHANOL,Caution
"HYDROGEN CHLORIDE, ANHYDROUS",ETHYLENE,Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS","FERROUS CHLORIDE, SOLID",Incompatible
"HYDROGEN CHLORIDE, ANHYDROUS",HELIUM,Compatible
"HYDROGEN CHLORIDE, ANHYDROUS",HYDROGEN,Compatible
"HYDROGEN PEROXIDE, STABILIZED",ACETYLENE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",ALUMINUM OXIDE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED","ALUMINUM POWDER, UNCOATED",Incompatible
"HYDROGEN PEROXIDE, STABILIZED","AMMONIA, ANHYDROUS",Incompatible
"HYDROGEN PEROXIDE, STABILIZED",ARGON,Compatible
"HYDROGEN PEROXIDE, STABILIZED",BENZENE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",BROMINE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",CALCIUM CARBONATE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",CALCIUM OXIDE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",CARBON DIOXIDE,Compatible
"HYDROGEN PEROXIDE, STABILIZED",CARBON MONOXIDE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",CELLULOSE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",CHLORINE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",CHROMIUM,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",D-MANNITOL,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",DICHLOROMETHANE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",ETHANE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",ETHANOL,Incompatible
"HYDROGEN PEROXIDE, STABILIZED",ETHYLENE,Incompatible
"HYDROGEN PEROXIDE, STABILIZED","FERROUS CHLORIDE, SOLID",Incompatible
"HYDROGEN PEROXIDE, STABILIZED",HELIUM,Compatible
"HYDROGEN PEROXIDE, STABILIZED",HYDROGEN,Incompatible
"HYDROGEN PEROXIDE, STABILIZED","HYDROGEN CHLORIDE, ANHYDROUS",Incompatible
HYDROGEN SULFIDE,ACETYLENE,Incompatible
HYDROGEN SULFIDE,ALUMINUM OXIDE,Caution
HYDROGEN SULFIDE,"ALUMINUM POWDER, UNCOATED",Incompatible
HYDROGEN SULFIDE,"AMMONIA, ANHYDROUS",Compatible
HYDROGEN SULFIDE,ARGON,Compatible
HYDROGEN SULFIDE,BENZENE,Compatible
HYDROGEN SULFIDE,BROMINE,Incompatible
HYDROGEN SULFIDE,CALCIUM CARBONATE,Compatible
HYDROGEN SULFIDE,CALCIUM OXIDE,Incompatible
HYDROGEN SULFIDE,CARBON DIOXIDE,Compatible
HYDROGEN SULFIDE,CARBON MONOXIDE,Compatible
HYDROGEN SULFIDE,CELLULOSE,Caution
HYDROGEN SULFIDE,CHLORINE,Incompatible
HYDROGEN SULFIDE,CHROMIUM,Incompatible
HYDROGEN SULFIDE,D-MANNITOL,Caution
HYDROGEN SULFIDE,DICHLOROMETHANE,Incompatible
HYDROGEN SULFIDE,ETHANE,Compatible
HYDROGEN SULFIDE,ETHANOL,Caution
HYDROGEN SULFIDE,ETHYLENE,Incompatible
HYDROGEN SULFIDE,"FERROUS CHLORIDE, SOLID",Incompatible
HYDROGEN SULFIDE,HELIUM,Compatible
HYDROGEN SULFIDE,HYDROGEN,Compatible
HYDROGEN SULFIDE,"HYDROGEN CHLORIDE, ANHYDROUS",Incompatible
HYDROGEN SULFIDE,"HYDROGEN PEROXIDE, STABILIZED",Incompatible
"IRON OXIDE, SPENT",ACETYLENE,Incompatible
"IRON OXIDE, SPENT",ALUMINUM OXIDE,Caution
"IRON OXIDE, SPENT","ALUMINUM POWDER, UNCOATED",Incompatible
"IRON OXIDE, SPENT","AMMONIA, ANHYDROUS",Compatible
"IRON OXIDE, SPENT",ARGON,Compatible
"IRON OXIDE, SPENT",BENZENE,Compatible
"IRON OXIDE, SPENT",BROMINE,Incompatible
"IRON OXIDE, SPENT",CALCIUM CARBONATE,Compatible
"IRON OXIDE, SPENT",CALCIUM OXIDE,Incompatible
"IRON OXIDE, SPENT",CARBON DIOXIDE,Compatible
"IRON OXIDE, SPENT",CARBON MONOXIDE,Compatible
"IRON OXIDE, SPENT",CELLULOSE,Caution
"IRON OXIDE, SPENT",CHLORINE,Incompatible
"IRON OXIDE, SPENT",CHROMIUM,Incompatible
"IRON OXIDE, SPENT",D-MANNITOL,Caution
"IRON OXIDE, SPENT",DICHLOROMETHANE,Incompatible
"IRON OXIDE, SPENT",ETHANE,Compatible
"IRON OXIDE, SPENT",ETHANOL,Caution
"IRON OXIDE, SPENT",ETHYLENE,Incompatible
"IRON OXIDE, SPENT","FERROUS CHLORIDE, SOLID",Incompatible
"IRON OXIDE, SPENT",HELIUM,Compatible
"IRON OXIDE, SPENT",HYDROGEN,Compatible
"IRON OXIDE, SPENT","HYDROGEN CHLORIDE, ANHYDROUS",Incompatible
"IRON OXIDE, SPENT","HYDROGEN PEROXIDE, STABILIZED",Incompatible
"IRON OXIDE, SPENT",HYDROGEN SULFIDE,Caution
"IRON, [POWDERED]",ACETYLENE,Incompatible
"IRON, [POWDERED]",ALUMINUM OXIDE,Incompatible
"IRON, [POWDERED]","ALUMINUM POWDER, UNCOATED",Compatible
"IRON, [POWDERED]","AMMONIA, ANHYDROUS",Incompatible
"IRON, [POWDERED]",ARGON,Caution
"IRON, [POWDERED]",BENZENE,Compatible
"IRON, [POWDERED]",BROMINE,Incompatible
"IRON, [POWDERED]",CALCIUM CARBONATE,Incompatible
"IRON, [POWDERED]",CALCIUM OXIDE,Incompatible
"IRON, [POWDERED]",CARBON DIOXIDE,Caution
"IRON, [POWDERED]",CARBON MONOXIDE,Incompatible
"IRON, [POWDERED]",CELLULOSE,Incompatible
"IRON, [POWDERED]",CHLORINE,Incompatible
"IRON, [POWDERED]",CHROMIUM,Compatible
"IRON, [POWDERED]",D-MANNITOL,Incompatible
"IRON, [POWDERED]",DICHLOROMETHANE,Incompatible
"IRON, [POWDERED]",ETHANE,Compatible
"IRON, [POWDERED]",ETHANOL,Incompatible
"IRON, [POWDERED]",ETHYLENE,Incompatible
"IRON, [POWDERED]","FERROUS CHLORIDE, SOLID",Incompatible
"IRON, [POWDERED]",HELIUM,Caution
"IRON, [POWDERED]",HYDROGEN,Incompatible
"IRON, [POWDERED]","HYDROGEN CHLORIDE, ANHYDROUS",Incompatible
"IRON, [POWDERED]","HYDROGEN PEROXIDE, STABILIZED",Incompatible
"IRON, [POWDERED]",HYDROGEN SULFIDE,Incompatible
"IRON, [POWDERED]","IRON OXIDE, SPENT",Incompatible
LACTOSE,ACETYLENE,Compatible
LACTOSE,ALUMINUM OXIDE,Compatible
LACTOSE,"ALUMINUM POWDER, UNCOATED",Incompatible
LACTOSE,"AMMONIA, ANHYDROUS",Compatible
LACTOSE,ARGON,Compatible
LACTOSE,BENZENE,Compatible
LACTOSE,BROMINE,Incompatible
LACTOSE,CALCIUM CARBONATE,Compatible
LACTOSE,CALCIUM OXIDE,Incompatible
LACTOSE,CARBON DIOXIDE,Compatible
LACTOSE,CARBON MONOXIDE,Caution
LACTOSE,CELLULOSE,Compatible
LACTOSE,CHLORINE,Incompatible
LACTOSE,CHROMIUM,Incompatible
LACTOSE,D-MANNITOL,Compatible
LACTOSE,DICHLOROMETHANE,Compatible
LACTOSE,ETHANE,Compatible
LACTOSE,ETHANOL,Compatible
LACTOSE,ETHYLENE,Caution
LACTOSE,"FERROUS CHLORIDE, SOLID",Incompatible
LACTOSE,HELIUM,Compatible
LACTOSE,HYDROGEN,Caution
LACTOSE,"HYDROGEN CHLORIDE, ANHYDROUS",Caution
LACTOSE,"HYDROGEN PEROXIDE, STABILIZED",Incompatible
LACTOSE,HYDROGEN SULFIDE,Caution
LACTOSE,"IRON OXIDE, SPENT",Caution
LACTOSE,"IRON, [POWDERED]",Incompatible
LEAD,ACETYLENE,Incompatible
LEAD,ALUMINUM OXIDE,Compatible
LEAD,"ALUMINUM POWDER, UNCOATED",Caution
LEAD,"AMMONIA, ANHYDROUS",Caution
LEAD,ARGON,Compatible
LEAD,BENZENE,Compatible
LEAD,BROMINE,Incompatible
LEAD,CALCIUM CARBONATE,Compatible
LEAD,CALCIUM OXIDE,Caution
LEAD,CARBON DIOXIDE,Compatible
LEAD,CARBON MONOXIDE,Incompatible
LEAD,CELLULOSE,Compatible
LEAD,CHLORINE,Incompatible
LEAD,CHROMIUM,Caution
LEAD,D-MANNITOL,Compatible
LEAD,DICHLOROMETHANE,Compatible
LEAD,ETHANE,Compatible
LEAD,ETHANOL,Compatible
LEAD,ETHYLENE,Incompatible
LEAD,"FERROUS CHLORIDE, SOLID",Caution
LEAD,HELIUM,Compatible
LEAD,HYDROGEN,Incompatible
LEAD,"HYDROGEN CHLORIDE, ANHYDROUS",Caution
LEAD,"HYDROGEN PEROXIDE, STABILIZED",Incompatible
LEAD,HYDROGEN SULFIDE,Incompatible
LEAD,"IRON OXIDE, SPENT",Incompatible
LEAD,"IRON, [POWDERED]",Caution
LEAD,LACTOSE,Compatible
LEAD SULFATE,ACETYLENE,Caution
LEAD SULFATE,ALUMINUM OXIDE,Compatible
LEAD SULFATE,"ALUMINUM POWDER, UNCOATED",Incompatible
LEAD SULFATE,"AMMONIA, ANHYDROUS",Compatible
LEAD SULFATE,ARGON,Compatible
LEAD SULFATE,BENZENE,Compatible
LEAD SULFATE,BROMINE,Incompatible
LEAD SULFATE,CALCIUM CARBONATE,Compatible
LEAD SULFATE,CALCIUM OXIDE,Compatible
LEAD SULFATE,CARBON DIOXIDE,Compatible
LEAD SULFATE,CARBON MONOXIDE,Compatible
LEAD SULFATE,CELLULOSE,Compatible
LEAD SULFATE,CHLORINE,Incompatible
LEAD SULFATE,CHROMIUM,Incompatible
LEAD SULFATE,D-MANNITOL,Compatible
LEAD SULFATE,DICHLOROMETHANE,Compatible
LEAD SULFATE,ETHANE,Compatible
LEAD SULFATE,ETHANOL,Compatible
LEAD SULFATE,ETHYLENE,Caution
LEAD SULFATE,"FERROUS CHLORIDE, SOLID",Incompatible
LEAD SULFATE,HELIUM,Compatible
LEAD SULFATE,HYDROGEN,Compatible
LEAD SULFATE,"HYDROGEN CHLORIDE, ANHYDROUS",Incompatible
LEAD SULFATE,"HYDROGEN PEROXIDE, STABILIZED",Incompatible
LEAD SULFATE,HYDROGEN SULFIDE,Caution
LEAD SULFATE,"IRON OXIDE, SPENT",Caution
LEAD SULFATE,"IRON, [POWDERED]",Incompatible
LEAD SULFATE,LACTOSE,Compatible
LEAD SULFATE,LEAD,Compatible
LEAD SULFIDE,ACETYLENE,Incompatible
LEAD SULFIDE,ALUMINUM OXIDE,Caution
LEAD SULFIDE,"ALUMINUM POWDER, UNCOATED",Incompatible
LEAD SULFIDE,"AMMONIA, ANHYDROUS",Compatible
LEAD SULFIDE,ARGON,Compatible
LEAD SULFIDE,BENZENE,Compatible
LEAD SULFIDE,BROMINE,Incompatible
LEAD SULFIDE,CALCIUM CARBONATE,Compatible
LEAD SULFIDE,CALCIUM OXIDE,Incompatible
LEAD SULFIDE,CARBON DIOXIDE,Compatible
LEAD SULFIDE,CARBON MONOXIDE,Compatible
LEAD SULFIDE,CELLULOSE,Caution
LEAD SULFIDE,CHLORINE,Incompatible
LEAD SULFIDE,CHROMIUM,Incompatible
LEAD SULFIDE,D-MANNITOL,Caution
LEAD SULFIDE,DICHLOROMETHANE,Incompatible
LEAD SULFIDE,ETHANE,Compatible
LEAD SULFIDE,ETHANOL,Caution
LEAD SULFIDE,ETHYLENE,Incompatible
LEAD SULFIDE,"FERROUS CHLORIDE, SOLID",Incompatible
LEAD SULFIDE,HELIUM,Compatible
LEAD SULFIDE,HYDROGEN,Compatible
LEAD SULFIDE,"HYDROGEN CHLORIDE, ANHYDROUS",Incompatible
LEAD SULFIDE,"HYDROGEN PEROXIDE, STABILIZED",Incompatible
LEAD SULFIDE,HYDROGEN SULFIDE,Compatible
LEAD SULFIDE,"IRON OXIDE, SPENT",Caution
LEAD SULFIDE,"IRON, [POWDERED]",Incompatible
LEAD SULFIDE,LACTOSE,Caution
LEAD SULFIDE,LEAD,Incompatible
LEAD SULFIDE,LEAD SULFATE,Caution
LIMESTONE,ACETYLENE,Caution
LIMESTONE,ALUMINUM OXIDE,Compatible
LIMESTONE,"ALUMINUM POWDER, UNCOATED",Incompatible
LIMESTONE,"AMMONIA, ANHYDROUS",Compatible
LIMESTONE,ARGON,Compatible
LIMESTONE,BENZENE,Compatible
LIMESTONE,BROMINE,Incompatible
